lncRNAName	H3K27ac-wa	H3K27ac-ea	H3K27ac-wr	H3K27ac-er	H3K36me3-wa	H3K36me3-ea	H3K36me3-wr	H3K36me3-er	H3K4me1-wa	H3K4me1-ea	H3K4me1-wr	H3K4me1-er	H3K4me2-wa	H3K4me2-ea	H3K4me2-wr	H3K4me2-er	H3K4me3-wa	H3K4me3-ea	H3K4me3-wr	H3K4me3-er	H3K79me2-wa	H3K79me2-ea	H3K79me2-wr	H3K79me2-er	H3K9ac-wa	H3K9ac-ea	H3K9ac-wr	H3K9ac-er	H3K9me3-wa	H3K9me3-ea	H3K9me3-wr	H3K9me3-er	H4K20me1-wa	H4K20me1-ea	H4K20me1-wr	H4K20me1-er	H3K27me3-wa	H3K27me3-ea	H3K27me3-wr	H3K27me3-er	Methylation-wa	Methylation-ea	Methylation-wr	Methylation-er
MAPKAPK5-AS1_ASO_G0234608_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.209436951830483	0.30972411107633874	0.3883474636597494	1.3889116789437632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPKAPK5-AS1_ASO_G0234608_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.055664297311713	1.4409831579618897	0.035791337285145226	-0.0	0.0	0.0	0.0	0.0	24.694980155462957	0.1773598284124554	0.7217203008002476	1.0832518227324905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3714393471807662	3.450674296136544	-0.0	-0.0	0.0	0.0	0.0	0.0
MEG3_ASO_G0214548_01	8.480850777297858	6.457506792808123	-0.0	6.7350923978814805	2.958726255610744	-0.0	-0.0	-0.0	11.424423281061326	0.9684480327378072	-0.0	-0.0	0.0	0.0	0.0	0.0	5.433309427093879	-0.0	-0.0	-0.0	3.571542810575298	-0.0	-0.0	0.04265943822708096	0.0	0.0	0.0	0.0	1.6906945253761883	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG3_ASO_G0214548_AD_09	0.19692341611414868	-0.0	6.690659977814057	35.319275558883255	0.3863091647161462	-0.0	2.373195279439182	-0.0	0.4201561004945825	2.2860891244774098	11.218603358041472	10.053146104623643	0.0	0.0	0.0	0.0	0.062222704637065626	-0.0	3.101576254598266	0.25601896835928073	0.04937113565108097	1.5789111745341857	3.9121605462165157	0.4645610556188063	0.0	0.0	0.0	0.0	-0.0	-0.0	0.9301483755098604	3.6706608404217556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5706323116847143	1.6145306436016487	5.9441587883310625	3.080932861154777
NR2F1-AS1_ASO_G0237187_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.555802978689735	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8060701672887436	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NR2F1-AS1_ASO_G0237187_AD_08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.6482664171530581	2.1755209192691876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB30-AS1_ASO_G0246067_AD_06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.166132587490031	54.01117219479763	17.516778537263498	16.123177110657263	0.35750879758893406	49.03233201428537	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.257255274569792	6.764949137581731	-0.0	0.1497925824560227
RAB30-AS1_ASO_G0246067_AD_09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.3804531749993354	0.14081510121965826	-0.0	0.30322387181915794	5.39946639920512	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0916485571132344	0.5713751539875183	-0.0	-0.0
RP11-115C21.2_ASO_G0246089_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6292832400113695	1.4835848076272375	-0.0	0.1497925824560227
RP11-137L10.6_ASO_G0221817_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.378861853908623	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-150O12.1_ASO_C013368_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49538509509586054	1.3443727766651048	0.3883474636597494	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-150O12.1_ASO_C013368_02	9.61047528405585	3.009105453154082	0.4055826923444644	0.018157042271444566	2.4811459583678204	-0.0	-0.0	-0.0	6.0972532759760485	0.20121137452313134	1.8552894844342318	0.014258519269958175	9.709303214418364	8.144289486821593	3.4679689708676054	-0.0	3.9850664798784377	15.995462652689966	3.796146941167593	11.931619631377469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.3188227359985145	-0.0	1.1699112167343422	0.0	0.0	0.0	0.0
RP11-221N13.3_ASO_G0256268_AD_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3664452437436934	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	1.8854773956191109	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-221N13.3_ASO_G0256268_AD_06	2.63753916793709	0.1645816910265472	-0.0	0.01289634585427223	0.0	0.0	0.0	0.0	1.5653472462705773	0.835660991520873	-0.0	-0.0	1.8954031373383182	0.47706549559620787	0.14081510121965826	-0.0	4.990968156301754	2.4887803805456676	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38656538052570605	3.064738178307266	-0.0	-0.0	0.0	0.0	0.0	0.0
